Tumorname	Name	MBIIscore
BRCA	BRCA-A0CS-01A	0.148990963
BRCA	BRCA-A0CT-01A	0.055078698
BRCA	BRCA-A0CU-01A	0.148181961
BRCA	BRCA-A0CV-01A	0.119981254
BRCA	BRCA-A0CW-01A	0.158712417
BRCA	BRCA-A0CX-01A	0.233383077
BRCA	BRCA-A0CY-01A	0.138940031
BRCA	BRCA-A0CZ-01A	0.255782157
BRCA	BRCA-A0D0-01A	0.219654795
BRCA	BRCA-A0D1-01A	0.068338048
BRCA	BRCA-A0D2-01A	0.402310422
BRCA	BRCA-A0D3-01A	0.133996433
BRCA	BRCA-A0D4-01A	0.084650737
BRCA	BRCA-A0EM-01A	0.113659719
BRCA	BRCA-A0EN-01A	0.407510952
BRCA	BRCA-A0EO-01A	0.158945161
BRCA	BRCA-A0EP-01A	0.654198976
BRCA	BRCA-A0EQ-01A	0.520596087
BRCA	BRCA-A0ER-01A	0.118421745
BRCA	BRCA-A0ES-01A	0.201589803
BRCA	BRCA-A0ET-01A	0.126497994
BRCA	BRCA-A0EU-01A	0.078253339
BRCA	BRCA-A0EV-01A	0.284202333
BRCA	BRCA-A0EW-01A	0.172798652
BRCA	BRCA-A0EX-01A	0.188561882
BRCA	BRCA-A0EY-01A	0.332831365
BRCA	BRCA-A0ST-01A	0.746330354
BRCA	BRCA-A0SU-01A	0.212234698
BRCA	BRCA-A0SV-01A	0.182292146
BRCA	BRCA-A0SW-01A	0.348746539
BRCA	BRCA-A0SX-01A	0.383383961
BRCA	BRCA-A0SY-01A	0.198241558
BRCA	BRCA-A0T0-01A	0.247054054
BRCA	BRCA-A0T1-01A	0.518852166
BRCA	BRCA-A0T2-01A	0.133385842
BRCA	BRCA-A0T3-01A	0.086492119
BRCA	BRCA-A0T4-01A	0.236926339
BRCA	BRCA-A0T5-01A	0.122634457
BRCA	BRCA-A0T6-01A	0.278788133
BRCA	BRCA-A0T7-01A	0.146055095
BRCA	BRCA-A0YC-01A	0.170906799
BRCA	BRCA-A0YD-01A	0.200378521
BRCA	BRCA-A0YE-01A	0.125534126
BRCA	BRCA-A0YF-01A	0.096044587
BRCA	BRCA-A0YG-01A	0.115001574
BRCA	BRCA-A0YH-01A	0.336316303
BRCA	BRCA-A0YI-01A	0.263137228
BRCA	BRCA-A0YJ-01A	0.146990605
BRCA	BRCA-A0YK-01A	0.372036753
BRCA	BRCA-A0YL-01A	0.16232626
